Matches,Year,Season ,City,Date,Match_type,Player_of_match,Venue,Home Team,Visiting Team,Toss_winner,Toss_decision,Match Winner,Home/Away Result,Won By,Result_margin,Winning Margin Category,Target_Runs,Target_overs,Super_over,Result Method
70,2012,Season 5,Jaipur,20-05-2012,League,DR Smith,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bating,Mumbai Indians,Away Win,wickets,10,Dominating Win,163,20,No,Normal
71,2012,Season 5,Pune,22-05-2012,Playoffs,YK Pathan,Subrata Roy Sahara Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Bating,Kolkata Knight Riders,Away Win,Runs,18,Moderate Win,163,20,No,Normal
72,2012,Season 5,Bengaluru,23-05-2012,Playoffs,MS Dhoni,M Chinnaswamy Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Fielding,Chennai Super Kings,Home Win,Runs,38,Moderate Win,188,20,No,Normal
73,2012,Season 5,Chennai,25-05-2012,Playoffs,M Vijay,"MA Chidambaram Stadium, Chepauk",Delhi Capitals,Chennai Super Kings,Delhi Capitals,Fielding,Chennai Super Kings,Away Win,Runs,86,Dominating Win,223,20,No,Normal
74,2012,Season 5,Chennai,27-05-2012,Final,MS Bisla,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Bating,Kolkata Knight Riders,Home Win,wickets,5,Moderate Win,191,20,No,Normal
1,2013,Season 6,Kolkata,03-04-2013,League,SP Narine,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Fielding,Kolkata Knight Riders,Home Win,wickets,6,Moderate Win,129,20,No,Normal
2,2013,Season 6,Bengaluru,04-04-2013,League,CH Gayle,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Fielding,Royal Challengers Bengaluru,Home Win,Runs,2,Close Match,157,20,No,Normal
3,2013,Season 6,Hyderabad,05-04-2013,League,A Mishra,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Pune Warriors,Pune Warriors,Fielding,Sunrisers Hyderabad,Home Win,Runs,22,Moderate Win,127,20,No,Normal
4,2013,Season 6,Delhi,06-04-2013,League,R Dravid,"Arun Jaitley Stadium, Delhi ",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Bating,Rajasthan Royals,Away Win,Runs,5,Close Match,166,20,No,Normal
5,2013,Season 6,Chennai,06-04-2013,League,KA Pollard,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Bating,Mumbai Indians,Away Win,Runs,9,Close Match,149,20,No,Normal
